obj: 'INIT', pid: 01
    obj: 'I000', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x0FE77000, size: 0x00D000, phys: 0x887E1ED000, tz0 offset: 0x119000
    obj: 'I001', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x0FE84000, size: 0x038000, phys: 0x887E1FA000, tz0 offset: 0x126000
    obj: 'I002', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x0FEC2000, size: 0x001000, phys: 0x887E3DB000, tz0 offset: 0x307000
    obj: 'O031', pid: 09, owner: 'xART', type: '_ool', perm: rw-, vaddr: 0x0FEC7000, size: 0x001000, phys: 0x887E65F000, tz0 offset: 0x58B000
    obj: 'O027', pid: 02, owner: 'SEPD', type: 'PHYS', perm: rw-, vaddr: 0x0FECC000, size: 0x008000, phys: 0x080A7C0000, tz0 offset: --------
    obj: 'O026', pid: 02, owner: 'SEPD', type: 'PHYS', perm: rw-, vaddr: 0x0FED6000, size: 0x008000, phys: 0x080A7B8000, tz0 offset: --------
    obj: 'O030', pid: 12, owner: 'sks ', type: '_ool', perm: rw-, vaddr: 0x084DD000, size: 0x001000, phys: 0x887E65E000, tz0 offset: 0x58A000
    obj: 'O034', pid: 12, owner: 'sks ', type: '_xrt', perm: rw-, vaddr: 0x084EA000, size: 0x008000, phys: 0x887E665000, tz0 offset: 0x591000
    obj: 'O047', pid: 10, owner: 'scrd', type: '_ool', perm: rw-, vaddr: 0x054F9000, size: 0x001000, phys: 0x887E67B000, tz0 offset: 0x5A7000
    obj: 'O046', pid: 10, owner: 'scrd', type: '_xrt', perm: rw-, vaddr: 0x054ED000, size: 0x008000, phys: 0x887E673000, tz0 offset: 0x59F000
    obj: 'O051', pid: 12, owner: 'sks ', type: '_ool', perm: rw-, vaddr: 0x08522000, size: 0x001000, phys: 0x887E6AD000, tz0 offset: 0x5D9000

obj: 'scrd', pid: 10
    obj: 'J000', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x05491000, size: 0x028000, phys: 0x887E232000, tz0 offset: 0x15E000
    obj: 'J001', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x054B9000, size: 0x008000, phys: 0x887E25A000, tz0 offset: 0x186000
    obj: 'J002', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x054C9000, size: 0x004000, phys: 0x887E3DC000, tz0 offset: 0x308000
    obj: 'O007', pid: 10, owner: 'scrd', type: '_hep', perm: rw-, vaddr: 0x054D2000, size: 0x008000, phys: 0x887E3FD000, tz0 offset: 0x329000
    obj: 'O045', pid: 02, owner: 'SEPD', type: 'PHYS', perm: rw-, vaddr: 0x054DD000, size: 0x004000, phys: 0x087CBAC000, tz0 offset: --------
